Barcode,Description,Weight,Unit,StockQty,SalePrice,PurchasePrice,Category
1001,PANI PURI,,,,10.9,,134
1027,BHUNA GOSHT,,,,23.9,,128
1063,PAPADUM,,,,4,,131
1070,NAAN,,,,4.5,,133
1071,GARLIC NAAN,,,,5.5,,133
1072,CHEESE NAAN,,,,6.5,,133
1073,CHEESE & GARLIC NAAN,,,,7.5,,133
1074,BUTTER NAAN,,,,6.9,,133
1075,LACHHA PARATHA,,,,6.9,,133
1076,ALOO MASALA NAAN,,,,6.5,,133
1077,KASHMIRI NAAN,,,,6.9,,133
1078,KEEMA NAAN,,,,7.5,,133
1064,MANGO CHUTNEY,,,,3,,131
1065,BANANA COCONUT,,,,5.9,,131
1066,RED ONION SALAD,,,,7.9,,131
1067,KACHUMBER SALAD,,,,7.5,,131
1068,MIX SALAD,,,,9.9,,131
1069,GULAB JAMUN,,,,7.9,,132
1079,CHICKEN TIKKA & CHEESE NAAN,,,,7.9,,133
1038,SPICY TADKA FISH CURRY,,,,24.9,,128
1039,GOAN  FISH CURRY,,,,24.9,,128
1040,KADHAI PANEER,,,,20.9,,129
1041,PALAK PANEER,,,,20.9,,129
1042,SHAHI PANEER,,,,20.9,,129
1043,MALAI KOFTA,,,,20.9,,129
1044,VEGETABLE KORMA,,,,19.9,,129
1045,BAINGAN TAK A TAK,,,,20.9,,129
1002,CREAMY TANDOORI MUSHROOMS,,,,16.9,,134
1003,VEG SAMOSA,,,,11.9,,134
1004,PALAK PAPDI CHAAT,,,,12.9,,134
1005,MALAI PANEER TIKKA,,,,17.9,,134
1006,SAMOSA CHAAT,,,,13.9,,134
1007,ALOO PANEER TIKKI,,,,14.9,,134
1008,ONION BHAJI,,,,11.9,,134
1009,CHICKEN 65,,,,16.9,,134
1010,CHICKEN TIKKA,,,,13.9,,134
1011,MURG TANDOORI,,,,14.9,,134
1012,AMRITSARI MACHLLI,,,,15.9,,134
1013,AFGHANI CHICKEN,,,,17.9,,134
1014,LAMB CUTLET,,,,24.9,,134
1015,MUGHLAI KEBAB,,,,16.9,,134
1016,VEG PLATTER,,,,24.9,,134
1017,NON VEG PLATTER,,,,26.9,,134
1018,MIXED ENTREE PLATTER,,,,27.9,,134
1019,TANDOORI SHAHI DAWAT,,,,45.9,,134
1020,GOBI MANCHURIAN,,,,16.9,,134
1021,CHILLI CHICKEN DRY,,,,22.9,,134
1022,CHILLI PANEER DRY,,,,20.9,,134
1023,LAMB ROGAN JOSH,,,,23.9,,128
1024,KORMA ZAFAR SHAHI,,,,23.9,,128
1025,LEG OF LAMB,,,,25.9,,128
1026,CLASSIC RAILWAY LAMB CURRY,,,,23.9,,128
1028,SPICY TADKA GOAT CURRY MASALA,,,,25.9,,128
1029,SPICY TADKA BUTTER CHICKEN,,,,23.9,,128
1030,SAAG MEAT,,,,23.9,,128
1031,CHICKEN TIKKA MASALA,,,,20.9,,128
1032,KADHAI CHICKEN,,,,20.9,,128
1033,MADRAS ,,,,23.9,,128
1034,SPICY TADKA DHABHA STYLE CHICKEN,,,,23.9,,128
1046,EGGPLANT MASALA,,,,19.9,,129
1048,JEERA  ALOO,,,,17.9,,129
1049,PALAK SAAG,,,,23.9,,129
1050,DAAL MAKAHANI,,,,19.9,,129
1051,TADKA DAAL,,,,18.9,,129
1052,ALOO GOBHI,,,,19.9,,129
1053,BHINDI DO PYAZA,,,,19.9,,129
1055,PIINDI CHOLE,,,,19.9,,129
1056,NIZAMI KADAI,,,,20.9,,129
1057,BASMATI SAFFRON RICE,,,,5,,130
1058,COCONUT RICE,,,,6,,130
1059,VEGETARIAN BIRYANI,,,,21.9,,130
1060,CHICKEN BIRYANI,,,,23.9,,130
1061,LAMB BIRYANI,,,,23.9,,130
1062,GOAT BIRYANI,,,,26.9,,130
1035,VINDALOO,,,,23.9,,128
1036,PRAWN MALBARI,,,,25.9,,128
1037,PRAWN JALFREZI,,,,25.9,,128
